transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,姫新線,千原,ちはら,兵庫県たつの市新宮町北村字車田151-2,34.900427,134.550112
近畿,兵庫,姫新線,猪の原一,いのはらいち,兵庫県たつの市新宮町井野原字竹端694-2,34.90586,134.550225
近畿,兵庫,姫新線,猪の原二,いのはらに,兵庫県たつの市新宮町井野原字下向川原719-3,34.90711,134.55026
近畿,兵庫,姫新線,立石,たていし,兵庫県たつの市新宮町井野原字井口941-3,34.910788,134.550359
近畿,兵庫,姫新線,砂子,すなご,兵庫県たつの市新宮町井野原字上新田1-25,34.913177,134.550015
近畿,兵庫,姫新線,魚芳,うおよし,兵庫県たつの市新宮町新宮字中河原982-7,0,0
近畿,兵庫,姫新線,宮の前（2）,みやのまえ,兵庫県たつの市新宮町新宮字元町1044-2,0,0
近畿,兵庫,姫新線,山崎街道,やまざきかいどう,兵庫県たつの市新宮町新宮字元町1054-4,0,0
近畿,兵庫,姫新線,新宮三,しんぐうさん,兵庫県たつの市新宮町新宮字元町1050-4,0,0
近畿,兵庫,姫新線,旧山崎街道,きゅうやまざきかいどう,兵庫県たつの市新宮町新宮字新町575-2,0,0
近畿,兵庫,姫新線,大鳥,おおとり,兵庫県たつの市新宮町新宮字境田204-7,0,0
近畿,兵庫,姫新線,平野第二,ひらのだいに,兵庫県たつの市新宮町平野字丁田397-5,0,0
近畿,兵庫,姫新線,平野第三,ひらのだいさん,兵庫県たつの市新宮町平野字門田665-2,0,0
近畿,兵庫,姫新線,出茶屋,でぢゃや,兵庫県たつの市新宮町平野字岸ノ下820-3,0,0
近畿,兵庫,姫新線,能地第一,のうちだいいち,兵庫県たつの市新宮町能地字バントメ128-4,0,0
近畿,兵庫,姫新線,福栖,ふくす,兵庫県たつの市新宮町福栖字森本678-6,0,0
近畿,兵庫,姫新線,金井,かない,兵庫県たつの市新宮町千本字下河原2280-2,0,0
近畿,兵庫,姫新線,千本街道,せんぼんかいどう,兵庫県たつの市新宮町千本字出口1948-4,0,0
近畿,兵庫,姫新線,千本第二,せんぼんだいに,兵庫県たつの市新宮町千本字南1863-4,0,0
近畿,兵庫,姫新線,大宇登,おおうど,兵庫県たつの市新宮町千本字大宇登12-5,0,0
近畿,兵庫,姫新線,広芝,ひろこげ,兵庫県たつの市新宮町栗町字岡の下164-7,0,0
近畿,兵庫,姫新線,町屋,まちや,兵庫県たつの市新宮町栗町字岡の下66-3,0,0
近畿,兵庫,姫新線,矢野原第二,やのはらだいに,兵庫県たつの市新宮町鍛冶屋字小別当477-3,0,0
近畿,兵庫,姫新線,小谷第二,こたにだいに,兵庫県たつの市新宮町下莇原字小谷284-3,0,0
近畿,兵庫,姫新線,能谷,のうたに,兵庫県佐用町三日月字上河原1824-3,0,0
近畿,兵庫,姫新線,猪谷,いのたに,兵庫県佐用町三日月字向1716-4,0,0
近畿,兵庫,姫新線,西田,にしだ,兵庫県佐用町三日月字西田1631-3,0,0
近畿,兵庫,姫新線,茶屋,ちゃや,兵庫県佐用町三日月字折口987-3,0,0
近畿,兵庫,姫新線,三日月,みかづき,兵庫県佐用町乃井野字赤社1573-3,0,0
近畿,兵庫,姫新線,野村第一,のむらだいいち,兵庫県佐用町乃井野字赤社1496-5,0,0
近畿,兵庫,姫新線,市の上,いちのうえ,兵庫県佐用町末広字南木の上163-5,0,0
近畿,兵庫,姫新線,新宿,しんじゅく,兵庫県佐用町末広字前田302-2,0,0
近畿,兵庫,姫新線,末広,すえひろ,兵庫県佐用町末広字樋の元900-3,0,0
近畿,兵庫,姫新線,第一長田,だいいちおさだ,兵庫県佐用町末広字後谷1401-98,0,0
近畿,兵庫,姫新線,宝蔵寺,ほうぞうじ,兵庫県佐用町土井字下長田44-5,0,0
近畿,兵庫,姫新線,第二土居,だいにどい,兵庫県佐用町土井字下川原476-3,0,0
近畿,兵庫,姫新線,大山谷,おおやまだに,兵庫県佐用町佐用字大坪3404-4,34.995576,134.358161
近畿,兵庫,姫新線,間島田,ましまだ,兵庫県佐用町佐用字間島田2896-9,0,0
近畿,兵庫,姫新線,山平,やまひら,兵庫県佐用町佐用字山平2494-3,0,0
近畿,兵庫,姫新線,前田,まえだ,兵庫県佐用町佐用字前田2388-4,0,0
